Position,Driver,Team,Grid,Best,Milliseconds,Time
1,Fernando Alonso,Scuderia Ferrari,02,00:01:52.970,112970,9:32.014
2,Pedro de la Rosa,HRT Formula 1™ Team,06,00:01:54.386,114386,'+10.673
3,Sebastian Vettel,Red Bull Racing,01,00:01:56.159,116159,'+15.338
4,Michael Schumacher,Mercedes AMG Petronas F1 Team,04,00:01:56.799,116799,'+19.729
5,Kimi Räikkönen,Lotus F1 Team,07,00:01:56.794,116794,'+20.322
6,Pastor Maldonado,Williams F1 Team,09,00:01:57.000,117000,'+21.896
7,Nico Rosberg,Mercedes AMG Petronas F1 Team,03,00:01:57.233,117233,'+24.093
8,Romain Grosjean,Lotus F1 Team,08,00:01:57.267,117267,'+24.377
9,Sergio Pérez,Sauber F1 Team,12,00:01:57.252,117252,'+25.332
10,Mark Webber,Red Bull Racing,11,00:01:57.165,117165,'+26.016
11,Jenson Button,Vodafone McLaren Mercedes,10,00:01:57.428,117428,'+26.077
12,Kamui Kobayashi,Sauber F1 Team,14,00:01:57.553,117553,'+28.024
