Position,Driver,Team,Grid,Best,Milliseconds,Time
1,Sebastian Vettel,Red Bull Racing,01,00:02:01.023,121023,10:09.336
2,Lewis Hamilton,Vodafone McLaren Mercedes,03,00:02:00.314,120314,'+0.433
3,Fernando Alonso,Scuderia Ferrari,05,00:01:58.357,118357,'+0.629
4,Kimi Räikkönen,Lotus F1 Team,07,00:02:01.671,121671,'+3.007
5,Pastor Maldonado,Williams F1 Team,02,00:02:01.272,121272,'+8.859
6,Michael Schumacher,Mercedes AMG Petronas F1 Team,06,00:02:00.951,120951,'+9.458
7,Jenson Button,Vodafone McLaren Mercedes,10,00:02:01.166,121166,'+9.956
8,Mark Webber,Red Bull Racing,09,00:02:01.131,121131,'+10.390
9,Romain Grosjean,Lotus F1 Team,11,00:02:01.210,121210,'+10.954
10,Felipe Massa,Scuderia Ferrari,08,00:02:00.767,120767,'+11.586
11,Nico Rosberg,Mercedes AMG Petronas F1 Team,12,00:02:00.640,120640,'+12.317
12,Sergio Pérez,Sauber F1 Team,BEST,00:02:00.871,120871,'+12.916
