Position,Driver,Team,Grid,Best,Milliseconds,Time
13,Kamui Kobayashi,Sauber F1 Team,13,00:02:00.858,120858,'+13.381
14,Paul Di Resta,Sahara Force India F1 Team,15,00:02:01.130,121130,'+14.114
15,Daniel Ricciardo,Scuderia Toro Rosso,18,00:02:01.760,121760,'+21.094
16,Nico Hülkenberg,Sahara Force India F1 Team,14,00:02:02.141,122141,'+21.760
17,Jean-Éric Vergne,Scuderia Toro Rosso,20,00:02:01.503,121503,'+24.288
18,Bruno Senna,Williams F1 Team,16,00:02:02.037,122037,'+28.825
19,H.Kovalainen,Caterham F1 Team,17,00:02:05.557,125557,'+32.018
20,Vitaly Petrov,Caterham F1 Team,19,00:02:05.352,125352,'+38.205
21,Timo Glock,Marussia F1 Team,21,00:02:06.224,126224,'+38.819
22,N.Karthikeyan,HRT Formula 1™ Team,24,00:02:05.402,125402,'+39.847
23,Charles Pic,Marussia F1 Team,23,00:02:05.268,125268,'+40.445
24,Pedro de la Rosa,HRT Formula 1™ Team,2 22,00:02:07.095,127095,'+53.713
