Position,Driver,Team,Grid,Best,Milliseconds,Time
1,Kimi Räikkönen,Lotus F1 Team,02,00:01:49.538,109538,9:15.642
2,Sebastian Vettel,Red Bull Racing,03,00:01:49.246,109246,'+2.026
3,Lewis Hamilton,Vodafone McLaren Mercedes,01,00:01:49.328,109328,'+2.746
4,Nico Rosberg,Mercedes AMG Petronas F1 Team,07,00:01:49.715,109715,'+8.093
5,Michael Schumacher,Mercedes AMG Petronas F1 Team,06,00:01:49.899,109899,'+11.437
6,Mark Webber,Red Bull Racing,10,00:01:49.826,109826,'+11.828
7,Kamui Kobayashi,Sauber F1 Team,12,00:01:50.305,110305,'+16.621
8,Romain Grosjean,Lotus F1 Team,08,00:01:50.333,110333,'+17.152
9,Sergio Pérez,Sauber F1 Team,13,00:01:49.455,109455,'+18.003
10,Fernando Alonso,Scuderia Ferrari,05,00:01:49.411,109411,+10 SECS
11,Pastor Maldonado,Williams F1 Team,09,00:01:50.518,110518,'+24.750
12,Jenson Button,Vodafone McLaren Mercedes,04,00:01:49.737,109737,'+25.016
