Position,Driver,Team,Grid,Best,Milliseconds,Time
1,Fernando Alonso,Scuderia Ferrari,01,00:01:21.125,81125,7:06.514
2,Sebastian Vettel,Red Bull Racing,02,00:01:22.616,82616,'+0.098
3,Pedro de la Rosa,HRT Formula 1™ Team,05,00:01:22.159,82159,'+0.395
4,Michael Schumacher,Mercedes AMG Petronas F1 Team,04,00:01:23.779,83779,'+3.256
5,Mark Webber,Red Bull Racing,11,00:01:23.189,83189,'+3.628
6,Nico Rosberg,Mercedes AMG Petronas F1 Team,03,00:01:25.122,85122,'+5.886
7,Lewis Hamilton,Vodafone McLaren Mercedes,07,00:01:25.297,85297,'+6.486
8,Jenson Button,Vodafone McLaren Mercedes,09,00:01:24.826,84826,'+6.731
9,Pastor Maldonado,Williams F1 Team,06,00:01:25.519,85519,'+7.045
10,Romain Grosjean,Lotus F1 Team,10,00:01:24.968,84968,'+7.168
11,Felipe Massa,Scuderia Ferrari,12,00:01:24.785,84785,'+7.630
12,Kimi Räikkönen,Lotus F1 Team,08,00:01:25.207,85207,'+7.941
