Position,Driver,Team,Grid,Best,Milliseconds,Time
1,Fernando Alonso,Scuderia Ferrari,02,00:01:48.238,108238,9:16.831
2,Pedro de la Rosa,HRT Formula 1™ Team,06,00:01:50.105,110105,'+15.394
3,Lewis Hamilton,Vodafone McLaren Mercedes,01,00:0:52.722,52722,'+16.739
4,Michael Schumacher,Mercedes AMG Petronas F1 Team,03,00:01:53.791,113791,'+21.222
5,Sebastian Vettel,Red Bull Racing,04,00:01:53.623,113623,'+21.427
6,Jenson Button,Vodafone McLaren Mercedes,05,00:01:53.732,113732,'+21.593
7,Pastor Maldonado,Williams F1 Team,07,00:01:53.747,113747,'+22.048
8,Kimi Räikkönen,Lotus F1 Team,08,00:01:53.730,113730,'+22.451
9,Romain Grosjean,Lotus F1 Team,10,00:01:53.535,113535,'+22.827
10,Felipe Massa,Scuderia Ferrari,11,00:01:53.490,113490,'+23.148
11,Kamui Kobayashi,Sauber F1 Team,14,00:01:53.181,113181,'+23.165
12,Nico Rosberg,Mercedes AMG Petronas F1 Team,09,00:01:53.492,113492,'+25.677
