Position,Driver,Team,Grid,Best,Milliseconds,Time
1,Fernando Alonso,Scuderia Ferrari,02,00:01:25.011,85011,7:14.015
2,Lewis Hamilton,Vodafone McLaren Mercedes,03,00:01:24.926,84926,'+1.266
3,Sebastian Vettel,Red Bull Racing,01,00:01:25.405,85405,'+1.731
4,Nico Rosberg,Mercedes AMG Petronas F1 Team,04,00:01:25.283,85283,'+2.197
5,Michael Schumacher,Mercedes AMG Petronas F1 Team,05,00:01:25.117,85117,'+2.729
6,Pedro de la Rosa,HRT Formula 1™ Team,06,00:01:27.846,87846,'+13.868
7,Kamui Kobayashi,Sauber F1 Team,13,00:01:26.742,86742,'+14.515
8,Kimi Räikkönen,Lotus F1 Team,08,00:01:27.815,87815,'+15.086
9,Romain Grosjean,Lotus F1 Team,07,00:01:27.589,87589,'+15.505
10,Jenson Button,Vodafone McLaren Mercedes,10,00:01:27.006,87006,'+15.954
11,Sergio Pérez,Sauber F1 Team,14,00:01:26.981,86981,'+16.510
12,Pastor Maldonado,Williams F1 Team,11,00:01:26.723,86723,'+17.170
