Position,Driver,Team,Grid,Best,Milliseconds,Time
1,Fernando Alonso,Scuderia Ferrari,08,00:01:27.729,87729,7:32.707
2,Sebastian Vettel,Red Bull Racing,02,00:01:30.000,90000,'+4.421
3,Lewis Hamilton,Vodafone McLaren Mercedes,01,00:01:30.535,90535,'+5.671
4,Michael Schumacher,Mercedes AMG Petronas F1 Team,04,00:01:30.675,90675,'+8.178
5,Jenson Button,Vodafone McLaren Mercedes,05,00:01:30.101,90101,'+10.538
6,Pastor Maldonado,Williams F1 Team,06,00:01:31.979,91979,'+15.045
7,Mark Webber,Red Bull Racing,10,00:01:31.672,91672,'+15.477
8,Romain Grosjean,Lotus F1 Team,07,00:01:31.573,91573,'+16.108
9,Kamui Kobayashi,Sauber F1 Team,12,00:01:31.732,91732,'+16.673
10,Kimi Räikkönen,Lotus F1 Team,09,00:01:31.319,91319,'+17.509
11,Sergio Pérez,Sauber F1 Team,13,00:01:31.636,91636,'+17.975
12,Paul Di Resta,Sahara Force India F1 Team,14,00:01:30.978,90978,'+18.242
