Position,Driver,Team,Grid,Best,Milliseconds,Time
13,Nico Rosberg,Mercedes AMG Petronas F1 Team,03,00:01:31.726,91726,'+19.538
14,Nico Hülkenberg,Sahara Force India F1 Team,18,00:01:31.827,91827,'+20.169
15,Felipe Massa,Scuderia Ferrari,11,00:01:30.705,90705,'+21.527
16,Bruno Senna,Williams F1 Team,16,00:01:31.572,91572,'+23.856
17,Ay Pedro de la Rosa,HRT Formula 1™ Team,20,00:01:31.387,91387,'+26.648
18,Jean-Éric Vergne,Scuderia Toro Rosso,19,00:01:31.585,91585,'+30.854
19,Daniel Ricciardo,Scuderia Toro Rosso,17,00:01:36.943,96943,'+36.245
20,H.Kovalainen,Caterham F1 Team,15,00:01:36.717,96717,'+40.067
21,Timo Glock,Marussia F1 Team,22,00:01:36.322,96322,'+41.618
22,Vitaly Petrov,Caterham F1 Team,21,00:01:36.131,96131,'+42.069
23,N.Karthikeyan,HRT Formula 1 ™M Team,24,00:01:35.827,95827,'+42.580
24,Charles Pic,Marussia F1 Team,23,00:01:36.481,96481,'+42.812
