Position,Driver,Team,Grid,Best,Milliseconds,Time
1,Fernando Alonso,Scuderia Ferrari,05,00:01:36.826,96826,8:10.895
2,Kimi Räikkönen,Lotus F1 Team,03,00:01:39.353,99353,'+8.732
3,Sebastian Vettel,Red Bull Racing,01,00:01:39.295,99295,'+9.331
4,Michael Schumacher,Mercedes AMG Petronas F1 Team,02,00:01:39.424,99424,'+10.661
5,Lewis Hamilton,Vodafone McLaren Mercedes,06,00:01:39.421,99421,'+11.300
6,Jenson Button,Vodafone McLaren Mercedes,04,00:01:39.426,99426,'+11.920
7,Romain Grosjean,Lotus F1 Team,08,00:01:39.429,99429,'+13.520
8,Nico Rosberg,Mercedes AMG Petronas F1 Team,07,00:01:39.329,99329,'+14.218
9,Mark Webber,Red Bull Racing,10,00:01:39.363,99363,'+14.717
10,Pedro de la Rosa,HRT Formula 1™ Team,23,00:01:40.235,100235,'+24.027
11,Pastor Maldonado,Williams F1 Team,09,00:01:40.508,100508,'+25.176
12,Sergio Pérez,Sauber F1 Team,12,00:01:40.696,100696,'+25.905
