Position,Driver,Team,Grid,Best,Milliseconds,Time
1,Lewis Hamilton,Vodafone McLaren Mercedes,01,00:01:31.510,91510,7:44.720
2,Fernando Alonso,Scuderia Ferrari,02,00:01:30.212,90212,'+3.257
3,Michael Schumacher,Mercedes AMG Petronas F1 Team,03,00:01:31.681,91681,'+6.130
4,Jenson Button,Vodafone McLaren Mercedes,04,00:01:32.809,92809,'+6.462
5,Nico Rosberg,Mercedes AMG Petronas F1 Team,05,00:01:31.846,91846,'+8.883
6,Pastor Maldonado,Williams F1 Team,07,00:01:32.484,92484,'+9.220
7,Romain Grosjean,Lotus F1 Team,09,00:01:32.103,92103,'+9.546
8,Sebastian Vettel,Red Bull Racing,08,00:01:31.901,91901,'+9.869
9,Kimi Räikkönen,Lotus F1 Team,10,00:01:31.904,91904,'+10.255
10,Felipe Massa,Scuderia Ferrari,12,00:01:31.845,91845,'+10.642
11,Paul Di Resta,Sahara Force India F1 Team,15,00:01:32.088,92088,'+11.105
12,Jean-Éric Vergne,Scuderia Toro Rosso,18,00:01:32.039,92039,'+13.527
