Position,Driver,Team,Grid,Best,Milliseconds,Time
13,Kamui Kobayashi,Sauber F1 Team,14,00:01:31.718,91718,'+14.564
14,Daniel Ricciardo,Scuderia Toro Rosso,17,00:01:32.514,92514,'+17.750
15,Sergio Pérez,Sauber F1 Team,13,00:01:32.287,92287,'+18.083
16,Nico Hülkenberg,Sahara Force India F1 Team,16,00:01:34.867,94867,'+25.197
17,Mark Webber,Red Bull Racing,11,00:01:34.698,94698,'+25.364
18,Bruno Senna,Williams F1 Team,19,00:01:35.046,95046,'+25.797
19,Vitaly Petrov,Caterham F1 Team,21,00:01:35.423,95423,'+26.427
20,N.Karthikeyan,HRT Formula 1™ Team,24,00:01:36.248,96248,'+27.892
21,H.Kovalainen,Caterham F1 Team,20,00:01:36.580,96580,'+29.121
22,Timo Glock,Marussia F1 Team,22,00:01:36.953,96953,'+29.454
23,Charles Pic,Marussia F1 Team,23,00:01:36.578,96578,'+29.819
24,Pedro de la Rosa,HRT Formula 1™ Team,06,00:01:37.527,97527,'+40.500
