Position,Driver,Team,Grid,Best,Milliseconds,Time
1,Fernando Alonso,Scuderia Ferrari,03,00:01:50.070,110070,9:18.312
2,Michael Schumacher,Mercedes AMG Petronas F1 Team,01,00:01:54.392,114392,'+17.754
3,Pedro de la Rosa,HRT Formula 1™M Team,07,00:01:53.679,113679,'+18.784
4,Sebastian Vettel,Red Bull Racing,04,00:01:54.681,114681,'+22.129
5,Lewis Hamilton,Vodafone McLaren Mercedes,02,00:01:54.583,114583,'+23.645
6,Nico Rosberg,Mercedes AMG Petronas F1 Team,05,00:01:55.108,115108,'+24.937
7,Romain Grosjean,Lotus F1 Team,08,00:01:55.131,115131,'+25.906
8,Nico Hülkenberg,Sahara Force India F1 Team,15,00:01:55.204,115204,'+27.138
9,Kimi Räikkönen,Lotus F1 Team,10,00:01:55.265,115265,'+27.837
10,Pastor Maldonado,Williams F1 Team,11,00:01:55.375,115375,'+28.868
11,Mark Webber,Red Bull Racing,06,00:01:55.411,115411,'+29.326
12,Jenson Button,Vodafone McLaren Mercedes,09,00:01:55.423,115423,'+29.864
