Position,Driver,Team,Grid,Best,Milliseconds,Time
1,Fernando Alonso,Scuderia Ferrari,07,00:01:52.238,112238,9:33.911
2,Pedro de la Rosa,HRT Formula 1™ Team,20,00:01:54.119,114119,'+13.864
3,Sebastian Vettel,Red Bull Racing,01,00:01:58.053,118053,'+25.195
4,Nico Rosberg,Mercedes AMG Petronas F1 Team,02,00:01:58.520,118520,'+28.608
5,Jenson Button,Vodafone McLaren Mercedes,06,00:01:58.467,118467,'+29.500
6,Michael Schumacher,Mercedes AMG Petronas F1 Team,03,00:01:58.495,118495,'+29.552
7,Lewis Hamilton,Vodafone McLaren Mercedes,04,00:01:58.408,118408,'+29.972
8,Pastor Maldonado,Williams F1 Team,08,00:01:58.422,118422,'+30.266
9,Romain Grosjean,Lotus F1 Team,05,00:01:58.780,118780,'+33.108
10,Kamui Kobayashi,Sauber F1 Team,12,00:01:58.716,118716,'+33.888
11,Nico Hülkenberg,Sahara Force India F1 Team,16,00:01:59.155,119155,'+35.424
12,Mark Webber,Red Bull Racing,10,00:01:59.234,119234,'+35.981
