Position,Driver,Team,Grid,Best,Milliseconds,Time
1,Fernando Alonso,Scuderia Ferrari,03,00:01:30.134,90134,7:43.089
2,Sebastian Vettel,Red Bull Racing,01,00:01:31.679,91679,'+3.588
3,Mark Webber,Red Bull Racing,08,00:01:31.610,91610,'+4.420
4,Nico Rosberg,Mercedes AMG Petronas F1 Team,10,00:01:31.643,91643,'+5.118
5,Romain Grosjean,Lotus F1 Team,06,00:01:31.715,91715,'+6.515
6,Lewis Hamilton,Vodafone McLaren Mercedes,05,00:01:31.536,91536,'+7.080
7,Michael Schumacher,Mercedes AMG Petronas F1 Team,02,00:01:31.563,91563,'+8.147
8,Felipe Massa,Scuderia Ferrari,12,00:01:31.743,91743,'+8.715
9,Pedro de la Rosa,HRT Formula 1 ™ Team,07,00:01:32.777,92777,'+13.130
10,Pastor Maldonado,Williams F1 Team,11,00:01:33.061,93061,'+15.196
11,Jenson Button,Vodafone McLaren Mercedes,04,00:01:33.135,93135,'+15.814
12,Kamui Kobayashi,Sauber F1 Team,14,00:01:32.975,92975,'+17.228
